date,value
7/7/2017 8:59,112740690
7/7/2017 8:59,112740560
7/7/2017 9:00,113757377
7/7/2017 9:00,100126
7/7/2017 9:00,54760
7/7/2017 9:00,617
7/7/2017 9:00,8
7/7/2017 9:00,881
7/7/2017 9:00,1056
7/7/2017 9:00,515
7/7/2017 9:00,18
7/7/2017 9:00,867
7/7/2017 9:00,4315
7/7/2017 9:00,26393515
7/7/2017 9:00,26391938
7/7/2017 9:00,93069427
7/7/2017 9:00,245
7/7/2017 9:00,184
7/7/2017 9:00,225
7/7/2017 9:00,198
7/7/2017 9:00,10882111
7/7/2017 9:00,152
7/7/2017 9:00,173
7/7/2017 9:00,40
7/7/2017 9:00,80
7/7/2017 9:00,2
7/7/2017 9:00,2
7/7/2017 9:00,38
7/7/2017 9:00,145
7/7/2017 9:00,121
7/7/2017 9:00,102133850
7/7/2017 9:00,23719992
7/7/2017 9:00,34758082
7/7/2017 9:00,30392250
7/7/2017 9:00,250
7/7/2017 9:00,215
7/7/2017 9:00,233
7/7/2017 9:00,4155641
7/7/2017 9:00,91997219
7/7/2017 9:00,66966070
7/7/2017 9:00,119520
7/7/2017 9:00,23527
7/7/2017 9:00,186
7/7/2017 9:00,183
7/7/2017 9:00,196
7/7/2017 9:00,94635
7/7/2017 9:00,119991
7/7/2017 9:00,600
7/7/2017 9:00,24013
7/7/2017 9:00,195
7/7/2017 9:00,735
7/7/2017 9:00,114254
7/7/2017 9:00,114602
7/7/2017 9:00,139284
7/7/2017 9:00,416932
7/7/2017 9:00,98241768
7/7/2017 9:00,5278273
7/7/2017 9:00,512
7/7/2017 9:00,7
7/7/2017 9:00,537
7/7/2017 9:00,769
7/7/2017 9:00,829
7/7/2017 9:00,1029
7/7/2017 9:00,1093
7/7/2017 9:00,481
7/7/2017 9:00,23054556
7/7/2017 9:00,53044563
7/7/2017 9:00,116933759
7/7/2017 9:00,15782105
7/7/2017 9:00,159
7/7/2017 9:00,162
7/7/2017 9:00,179
7/7/2017 9:00,188
7/7/2017 9:00,130
7/7/2017 9:00,197
7/7/2017 9:00,74
7/7/2017 9:00,31
7/7/2017 9:00,48
7/7/2017 9:00,61
7/7/2017 9:00,73
7/7/2017 9:00,140
7/7/2017 9:00,998
7/7/2017 9:00,4149
7/7/2017 9:00,22934060
7/7/2017 9:00,95328884
7/7/2017 9:00,47
7/7/2017 9:00,422485
7/7/2017 9:00,92
7/7/2017 9:00,529
7/7/2017 9:00,849
7/7/2017 9:00,1090
7/7/2017 9:00,519
7/7/2017 9:00,969
7/7/2017 9:00,506
7/7/2017 9:00,9
7/7/2017 9:00,840
7/7/2017 9:00,991
7/7/2017 9:00,1025
7/7/2017 9:00,1134
7/7/2017 9:00,477
7/7/2017 9:00,142
7/7/2017 9:00,1476784
