date,value
6/7/2017 8:59,113095465
6/7/2017 8:59,113473706
6/7/2017 8:59,119945515
6/7/2017 8:59,60261928
6/7/2017 8:59,269
6/7/2017 8:59,30352
6/7/2017 9:00,48
6/7/2017 9:00,89501767
6/7/2017 9:00,23527
6/7/2017 9:00,23978
6/7/2017 9:00,107015212
6/7/2017 9:00,75288199
6/7/2017 9:00,3378994
6/7/2017 9:00,3
6/7/2017 9:00,76354195
6/7/2017 9:00,25117
6/7/2017 9:00,25926
6/7/2017 9:00,25525
6/7/2017 9:00,171
6/7/2017 9:00,26386
6/7/2017 9:00,1582026
6/7/2017 9:00,302
6/7/2017 9:00,257
6/7/2017 9:00,487
6/7/2017 9:00,1206
6/7/2017 9:00,27779
6/7/2017 9:00,1133
6/7/2017 9:00,118034439
6/7/2017 9:00,214
6/7/2017 9:00,190
6/7/2017 9:00,197
6/7/2017 9:00,210
6/7/2017 9:00,202
6/7/2017 9:00,350
6/7/2017 9:00,163
6/7/2017 9:00,191
6/7/2017 9:00,163
6/7/2017 9:00,203
6/7/2017 9:00,171
6/7/2017 9:00,167
6/7/2017 9:00,163
6/7/2017 9:00,162
6/7/2017 9:00,14114
6/7/2017 9:00,205
6/7/2017 9:00,197
6/7/2017 9:00,166
6/7/2017 9:00,236
6/7/2017 9:00,411
6/7/2017 9:00,201
6/7/2017 9:00,204
6/7/2017 9:00,244
6/7/2017 9:00,674
6/7/2017 9:00,208
6/7/2017 9:00,210
6/7/2017 9:00,162
6/7/2017 9:00,198
6/7/2017 9:00,209
6/7/2017 9:00,189
6/7/2017 9:00,199
6/7/2017 9:00,562
6/7/2017 9:00,209
6/7/2017 9:00,204
6/7/2017 9:00,207
6/7/2017 9:00,214
6/7/2017 9:00,62
6/7/2017 9:00,75
6/7/2017 9:00,209
6/7/2017 9:00,210
6/7/2017 9:00,203
6/7/2017 9:00,75
6/7/2017 9:00,216
6/7/2017 9:00,162
6/7/2017 9:00,79
6/7/2017 9:00,169
6/7/2017 9:00,396
6/7/2017 9:00,2
6/7/2017 9:00,1086
6/7/2017 9:00,116446503
6/7/2017 9:00,23321
6/7/2017 9:00,23458
6/7/2017 9:00,83069
6/7/2017 9:00,23478
6/7/2017 9:00,47749
6/7/2017 9:00,23888
6/7/2017 9:00,23676
6/7/2017 9:00,98479
6/7/2017 9:00,207
6/7/2017 9:00,77730
6/7/2017 9:00,76978
6/7/2017 9:00,76577
6/7/2017 9:00,200
6/7/2017 9:00,196
6/7/2017 9:00,98891
6/7/2017 9:00,48159
6/7/2017 9:00,50
6/7/2017 9:00,188
6/7/2017 9:00,179
6/7/2017 9:00,24079
6/7/2017 9:00,201
6/7/2017 9:00,210
6/7/2017 9:00,202
6/7/2017 9:00,212
6/7/2017 9:00,78120
6/7/2017 9:00,204
6/7/2017 9:00,24101
6/7/2017 9:00,180
6/7/2017 9:00,23744
6/7/2017 9:00,163
6/7/2017 9:00,159
6/7/2017 9:00,164
6/7/2017 9:00,207
6/7/2017 9:00,396
6/7/2017 9:00,24282
6/7/2017 9:00,167
6/7/2017 9:00,165
6/7/2017 9:00,159
6/7/2017 9:00,60
6/7/2017 9:00,178
6/7/2017 9:00,216
6/7/2017 9:00,202
6/7/2017 9:00,83483
6/7/2017 9:00,23891
6/7/2017 9:00,179
6/7/2017 9:00,711
6/7/2017 9:00,160
6/7/2017 9:00,199
6/7/2017 9:00,110114746
6/7/2017 9:00,112120720
6/7/2017 9:00,112109546
6/7/2017 9:00,86097296
6/7/2017 9:00,19034529
6/7/2017 9:00,63752405
6/7/2017 9:00,84016084
6/7/2017 9:00,68016619
6/7/2017 9:00,364
6/7/2017 9:00,0
6/7/2017 9:00,1115
6/7/2017 9:00,442
6/7/2017 9:00,1052
6/7/2017 9:00,1
6/7/2017 9:00,1059
6/7/2017 9:00,1152
6/7/2017 9:00,10379564
6/7/2017 9:00,10998763
6/7/2017 9:00,526858
6/7/2017 9:00,95260141
6/7/2017 9:00,191
6/7/2017 9:00,174
6/7/2017 9:00,167
6/7/2017 9:00,172
6/7/2017 9:00,160
6/7/2017 9:00,175
6/7/2017 9:00,173
6/7/2017 9:00,199
6/7/2017 9:00,172
6/7/2017 9:00,134
6/7/2017 9:00,239
6/7/2017 9:00,3370
6/7/2017 9:00,72
6/7/2017 9:00,201
6/7/2017 9:00,230
6/7/2017 9:00,179
6/7/2017 9:00,160
6/7/2017 9:00,176
6/7/2017 9:00,154
6/7/2017 9:00,151
6/7/2017 9:00,158
6/7/2017 9:00,161
6/7/2017 9:00,921
6/7/2017 9:00,268
6/7/2017 9:00,106
6/7/2017 9:00,201
6/7/2017 9:00,188
6/7/2017 9:00,170
6/7/2017 9:00,235
6/7/2017 9:00,169
6/7/2017 9:00,176
6/7/2017 9:00,508
6/7/2017 9:00,179
6/7/2017 9:00,161
6/7/2017 9:00,179
6/7/2017 9:00,154
6/7/2017 9:00,231
6/7/2017 9:00,194
6/7/2017 9:00,166
6/7/2017 9:00,181
6/7/2017 9:00,177
6/7/2017 9:00,168
6/7/2017 9:00,303
6/7/2017 9:00,173
6/7/2017 9:00,163
6/7/2017 9:00,205
6/7/2017 9:00,178
6/7/2017 9:00,169
6/7/2017 9:00,163
6/7/2017 9:00,204
6/7/2017 9:00,171
6/7/2017 9:00,365
6/7/2017 9:00,852
6/7/2017 9:00,160
6/7/2017 9:00,233
6/7/2017 9:00,163
6/7/2017 9:00,175
6/7/2017 9:00,191
6/7/2017 9:00,169
6/7/2017 9:00,227
6/7/2017 9:00,50
6/7/2017 9:00,232
6/7/2017 9:00,969
6/7/2017 9:00,165
6/7/2017 9:00,206
6/7/2017 9:00,201
6/7/2017 9:00,108
6/7/2017 9:00,77
6/7/2017 9:00,205
6/7/2017 9:00,150
6/7/2017 9:00,159
6/7/2017 9:00,302
6/7/2017 9:00,255
6/7/2017 9:00,492
6/7/2017 9:00,5
6/7/2017 9:00,77
6/7/2017 9:00,143
6/7/2017 9:00,155
6/7/2017 9:00,297
6/7/2017 9:00,167
6/7/2017 9:00,974
6/7/2017 9:00,249
6/7/2017 9:00,174
6/7/2017 9:00,178
6/7/2017 9:00,171
6/7/2017 9:00,154
6/7/2017 9:00,716
6/7/2017 9:00,236
6/7/2017 9:00,164
6/7/2017 9:00,215
6/7/2017 9:00,206
6/7/2017 9:00,74025020
6/7/2017 9:00,67093886
6/7/2017 9:00,69106834
6/7/2017 9:00,34989714
6/7/2017 9:00,410379
6/7/2017 9:00,4015886
6/7/2017 9:00,72122013
6/7/2017 9:00,4769087
6/7/2017 9:00,252
6/7/2017 9:00,260
6/7/2017 9:00,69105833
6/7/2017 9:00,72012337
6/7/2017 9:00,286
6/7/2017 9:00,231
6/7/2017 9:01,65997308
6/7/2017 9:01,67082746
6/7/2017 9:01,73013762
6/7/2017 9:01,73094276
6/7/2017 9:01,267
6/7/2017 9:01,207
6/7/2017 9:01,526
6/7/2017 9:01,842
6/7/2017 9:01,946
6/7/2017 9:01,523
6/7/2017 9:01,23241857
6/7/2017 9:01,23195910
6/7/2017 9:01,53240519
6/7/2017 9:01,70110575
6/7/2017 9:01,70017955
6/7/2017 9:01,72017158
6/7/2017 9:01,74032825
6/7/2017 9:01,15842506
6/7/2017 9:01,179
6/7/2017 9:01,153
6/7/2017 9:01,155
6/7/2017 9:01,140
6/7/2017 9:01,204
6/7/2017 9:01,16110182
6/7/2017 9:01,212
6/7/2017 9:01,48
6/7/2017 9:01,47
6/7/2017 9:01,89
6/7/2017 9:01,57
6/7/2017 9:01,221
6/7/2017 9:01,185
6/7/2017 9:01,1045
6/7/2017 9:01,1097
6/7/2017 9:01,500
6/7/2017 9:01,14
6/7/2017 9:01,66080212
6/7/2017 9:01,78003009
6/7/2017 9:01,70003140
6/7/2017 9:01,74021498
6/7/2017 9:01,285
6/7/2017 9:01,232
6/7/2017 9:01,198
6/7/2017 9:01,906263
6/7/2017 9:01,2
6/7/2017 9:01,84
6/7/2017 9:01,81
6/7/2017 9:01,206
6/7/2017 9:01,60808539
6/7/2017 9:01,4009981
6/7/2017 9:01,2
6/7/2017 9:01,10110
6/7/2017 9:01,10115
6/7/2017 9:01,303954
6/7/2017 9:01,1
6/7/2017 9:01,198
6/7/2017 9:01,370
6/7/2017 9:01,132
6/7/2017 9:01,195
6/7/2017 9:01,334
6/7/2017 9:01,738
6/7/2017 9:01,649
6/7/2017 9:01,124
6/7/2017 9:01,6
6/7/2017 9:01,396
6/7/2017 9:01,212
6/7/2017 9:01,1271
6/7/2017 9:01,23802
6/7/2017 9:01,24188
6/7/2017 9:01,608
6/7/2017 9:01,218
6/7/2017 9:01,662
6/7/2017 9:01,274
6/7/2017 9:01,8754
6/7/2017 9:01,45
6/7/2017 9:01,114095625
6/7/2017 9:01,66086957
6/7/2017 9:01,69094596
6/7/2017 9:01,66081538
6/7/2017 9:01,66016564
6/7/2017 9:01,15
6/7/2017 9:01,76948
6/7/2017 9:01,66093817
6/7/2017 9:01,67016294
6/7/2017 9:01,68021941
6/7/2017 9:01,13
6/7/2017 9:01,100055
6/7/2017 9:01,15
6/7/2017 9:01,11109751
6/7/2017 9:01,77005492
6/7/2017 9:01,77004695
6/7/2017 9:01,22517547
6/7/2017 9:01,128
6/7/2017 9:01,221
6/7/2017 9:01,158
6/7/2017 9:01,21959
6/7/2017 9:01,810
6/7/2017 9:01,999
6/7/2017 9:01,543
6/7/2017 9:01,847
6/7/2017 9:01,912
6/7/2017 9:01,25343
6/7/2017 9:01,1065
6/7/2017 9:01,12
6/7/2017 9:01,960
6/7/2017 9:01,14
6/7/2017 9:01,781
6/7/2017 9:01,158
6/7/2017 9:01,1042
6/7/2017 9:01,0
6/7/2017 9:01,515
6/7/2017 9:01,156
6/7/2017 9:01,64647
6/7/2017 9:01,2450952
6/7/2017 9:01,15707305
6/7/2017 9:01,26314004
6/7/2017 9:01,26274439
6/7/2017 9:01,26189395
6/7/2017 9:01,30318756
6/7/2017 9:01,162
6/7/2017 9:01,3917408
6/7/2017 9:01,216
6/7/2017 9:01,69
6/7/2017 9:01,71
6/7/2017 9:01,52
6/7/2017 9:01,73
6/7/2017 9:01,2
6/7/2017 9:01,2
6/7/2017 9:01,1
6/7/2017 9:01,2
6/7/2017 9:01,185
6/7/2017 9:01,175
6/7/2017 9:01,143
6/7/2017 9:01,136
6/7/2017 9:01,28
6/7/2017 9:01,18
6/7/2017 9:01,34
6/7/2017 9:01,25
6/7/2017 9:01,114
6/7/2017 9:01,1188
6/7/2017 9:01,64738045
6/7/2017 9:01,139
6/7/2017 9:01,182
6/7/2017 9:01,682
6/7/2017 9:01,172
6/7/2017 9:01,177
6/7/2017 9:01,87
6/7/2017 9:01,241
6/7/2017 9:01,173
6/7/2017 9:01,173
6/7/2017 9:01,373
6/7/2017 9:01,165
6/7/2017 9:01,168
6/7/2017 9:01,184
6/7/2017 9:01,163
6/7/2017 9:01,213
6/7/2017 9:01,173
6/7/2017 9:01,301
6/7/2017 9:01,166
6/7/2017 9:01,1113
6/7/2017 9:01,247
6/7/2017 9:01,183
6/7/2017 9:01,183
6/7/2017 9:01,181
6/7/2017 9:01,66022385
6/7/2017 9:01,21
6/7/2017 9:01,108288
6/7/2017 9:01,538
6/7/2017 9:01,849
6/7/2017 9:01,997
6/7/2017 9:01,1068
6/7/2017 9:01,230
6/7/2017 9:01,19188074
6/7/2017 9:01,4451701
6/7/2017 9:01,22887
6/7/2017 9:01,10323
6/7/2017 9:01,144
6/7/2017 9:01,89
6/7/2017 9:01,54
6/7/2017 9:01,73
6/7/2017 9:01,61
6/7/2017 9:01,6062877
6/7/2017 9:01,3638537
6/7/2017 9:01,64036560
6/7/2017 9:01,215
6/7/2017 9:01,628
6/7/2017 9:01,209
6/7/2017 9:01,592
6/7/2017 9:01,1500049
6/7/2017 9:01,1112
6/7/2017 9:01,501
6/7/2017 9:01,9
6/7/2017 9:01,93959
6/7/2017 9:01,45
6/7/2017 9:01,100772452
6/7/2017 9:01,23565
6/7/2017 9:01,24098
6/7/2017 9:01,2
6/7/2017 9:01,55
6/7/2017 9:01,562
6/7/2017 9:01,804
6/7/2017 9:01,943
6/7/2017 9:01,21501
6/7/2017 9:01,39011
6/7/2017 9:01,52
6/7/2017 9:01,30
6/7/2017 9:01,25
6/7/2017 9:01,41
6/7/2017 9:01,78
6/7/2017 9:01,13
6/7/2017 9:01,1086241
6/7/2017 9:01,155392
6/7/2017 9:01,154875
6/7/2017 9:01,65
6/7/2017 9:01,3
6/7/2017 9:01,36235
6/7/2017 9:01,126
6/7/2017 9:01,20
6/7/2017 9:01,209092
6/7/2017 9:01,47
6/7/2017 9:01,31936783
6/7/2017 9:01,107417257
6/7/2017 9:01,46764
6/7/2017 9:01,47214
6/7/2017 9:01,49
6/7/2017 9:01,109777942
6/7/2017 9:01,213308
6/7/2017 9:01,213769
6/7/2017 9:01,446939
6/7/2017 9:01,15680754
6/7/2017 9:01,102225
6/7/2017 9:01,418744
6/7/2017 9:01,586
6/7/2017 9:01,18
6/7/2017 9:01,851
6/7/2017 9:01,910
6/7/2017 9:01,9061
6/7/2017 9:01,1089
6/7/2017 9:01,544
6/7/2017 9:01,628
6/7/2017 9:01,563
6/7/2017 9:01,17
6/7/2017 9:01,843
6/7/2017 9:01,992
6/7/2017 9:01,1203
6/7/2017 9:01,0
6/7/2017 9:01,958
6/7/2017 9:01,577
6/7/2017 9:01,28
6/7/2017 9:01,593
6/7/2017 9:01,856
6/7/2017 9:01,985
6/7/2017 9:01,1016
6/7/2017 9:01,1091
6/7/2017 9:01,520
6/7/2017 9:01,13
6/7/2017 9:01,183476
6/7/2017 9:01,18880534
6/7/2017 9:01,18879179
6/7/2017 9:01,26262986
6/7/2017 9:01,26261439
6/7/2017 9:01,48630847
6/7/2017 9:01,106146765
6/7/2017 9:01,23449
6/7/2017 9:01,3892118
6/7/2017 9:01,93486453
6/7/2017 9:01,223
6/7/2017 9:01,208
6/7/2017 9:01,151
6/7/2017 9:01,198
6/7/2017 9:01,217
6/7/2017 9:01,141
6/7/2017 9:01,210
6/7/2017 9:01,104552296
6/7/2017 9:01,125
6/7/2017 9:01,11282418
6/7/2017 9:01,92
6/7/2017 9:01,188
6/7/2017 9:01,2
6/7/2017 9:01,56
6/7/2017 9:01,2
6/7/2017 9:01,78
6/7/2017 9:01,70
6/7/2017 9:01,107
6/7/2017 9:01,69
6/7/2017 9:01,89
6/7/2017 9:01,80
6/7/2017 9:01,93
6/7/2017 9:01,51
6/7/2017 9:01,2
6/7/2017 9:01,124
6/7/2017 9:01,191
6/7/2017 9:01,95
6/7/2017 9:01,80
6/7/2017 9:01,2
6/7/2017 9:01,97
6/7/2017 9:01,3858657
6/7/2017 9:01,58972
6/7/2017 9:01,23839
6/7/2017 9:01,4633186
6/7/2017 9:01,2130141
