date,value
4/7/2017 10:30,5216127
4/7/2017 10:20,20
4/7/2017 10:20,38
4/7/2017 10:20,80
4/7/2017 10:20,68
4/7/2017 10:20,47
4/7/2017 10:20,83
4/7/2017 10:20,265
4/7/2017 10:20,3302859
4/7/2017 10:20,3
4/7/2017 10:20,215
4/7/2017 10:20,289
4/7/2017 10:20,6543160
4/7/2017 10:20,6627499
4/7/2017 10:20,6511621
4/7/2017 10:20,40
4/7/2017 10:20,335
4/7/2017 10:20,18
4/7/2017 10:20,349
4/7/2017 10:20,9711548
4/7/2017 10:20,9715978
4/7/2017 10:20,9650536
4/7/2017 10:20,9669466
4/7/2017 10:20,9674538
4/7/2017 10:20,9679375
4/7/2017 10:20,208
4/7/2017 10:20,4
4/7/2017 10:20,4
4/7/2017 10:20,9077120
4/7/2017 10:20,3
4/7/2017 10:20,313
4/7/2017 10:20,42
4/7/2017 10:20,8923609
4/7/2017 10:20,8927463
4/7/2017 10:20,9380608
4/7/2017 10:19,207
4/7/2017 10:19,48
4/7/2017 10:19,245
4/7/2017 10:19,274
4/7/2017 10:19,48
4/7/2017 10:19,8666911
4/7/2017 10:19,8675574
4/7/2017 10:19,9135070
4/7/2017 10:19,8802553
4/7/2017 10:19,8792673
4/7/2017 10:19,8792816
4/7/2017 10:19,264
4/7/2017 10:19,234
4/7/2017 10:19,9052209
4/7/2017 10:19,3
4/7/2017 10:19,230
4/7/2017 10:19,164
4/7/2017 10:19,8666035
4/7/2017 10:19,8805760
4/7/2017 10:19,8808271
4/7/2017 10:19,4
4/7/2017 10:19,77
4/7/2017 10:19,260
4/7/2017 10:19,226
4/7/2017 10:19,8437401
4/7/2017 10:19,8591758
4/7/2017 10:19,8646847
4/7/2017 10:19,8646918
4/7/2017 10:19,234
4/7/2017 10:19,3
4/7/2017 10:19,9207463
4/7/2017 10:19,9209883
4/7/2017 10:19,234
4/7/2017 10:19,9258254
4/7/2017 10:19,233
4/7/2017 10:19,3
4/7/2017 10:19,313
4/7/2017 10:19,8761958
4/7/2017 10:19,8819589
4/7/2017 10:19,8821994
4/7/2017 10:19,48
4/7/2017 10:19,203
4/7/2017 10:19,217
4/7/2017 10:19,261
